Text,Sentiment,Emotion
This is so unfair!,Negative,Anger
This situation is making me anxious.,Negative,Fear
I feel amazing today!,Positive,Joy
Today was a really bad day.,Negative,Sadness
What a beautiful day!,Positive,Joy
That was an unexpected turn of events!,Positive,Surprise
Today was a really bad day.,Negative,Sadness
"Wow, I didn't see that coming!",Positive,Surprise
This is so unfair!,Negative,Anger
Everything is peaceful right now.,Neutral,Calm
I am really scared about the future.,Negative,Fear
I am really scared about the future.,Negative,Fear
Nothing is going my way.,Negative,Frustration
"Wow, I didn't see that coming!",Positive,Surprise
I feel very relaxed.,Neutral,Calm
This situation is making me anxious.,Negative,Fear
I can't believe it!,Positive,Surprise
I am so frustrated with this!,Negative,Anger
Why is this so difficult?,Negative,Frustration
I am really scared about the future.,Negative,Fear
I feel unsafe.,Negative,Fear
This situation is making me anxious.,Negative,Fear
Everything is peaceful right now.,Neutral,Calm
I feel very relaxed.,Neutral,Calm
This moment is so soothing.,Neutral,Calm
Everything is peaceful right now.,Neutral,Calm
I feel amazing today!,Positive,Joy
Today was a really bad day.,Negative,Sadness
This situation is making me anxious.,Negative,Fear
This is so unfair!,Negative,Anger
I feel unsafe.,Negative,Fear
I feel so lonely.,Negative,Sadness
I miss my best friend.,Negative,Sadness
I just can't get this to work!,Negative,Frustration
I feel amazing today!,Positive,Joy
"Wow, I didn't see that coming!",Positive,Surprise
"Wow, I didn't see that coming!",Positive,Surprise
I can't believe it!,Positive,Surprise
This situation is making me anxious.,Negative,Fear
I can't believe it!,Positive,Surprise
I just can't get this to work!,Negative,Frustration
That was an unexpected turn of events!,Positive,Surprise
I just can't get this to work!,Negative,Frustration
I can't believe it!,Positive,Surprise
I feel amazing today!,Positive,Joy
This is so unfair!,Negative,Anger
That was an unexpected turn of events!,Positive,Surprise
I am so frustrated with this!,Negative,Anger
I can't believe it!,Positive,Surprise
That was an unexpected turn of events!,Positive,Surprise
This is so unfair!,Negative,Anger
I just can't get this to work!,Negative,Frustration
I am really scared about the future.,Negative,Fear
Today was a really bad day.,Negative,Sadness
I feel so lonely.,Negative,Sadness
Why is this so difficult?,Negative,Frustration
"Wow, I didn't see that coming!",Positive,Surprise
I am so frustrated with this!,Negative,Anger
I feel unsafe.,Negative,Fear
I feel unsafe.,Negative,Fear
This is so unfair!,Negative,Anger
I am so frustrated with this!,Negative,Anger
I can't believe it!,Positive,Surprise
That was an unexpected turn of events!,Positive,Surprise
This moment is so soothing.,Neutral,Calm
Today was a really bad day.,Negative,Sadness
Why does everything go wrong?,Negative,Anger
I am really scared about the future.,Negative,Fear
I just can't get this to work!,Negative,Frustration
I feel so lonely.,Negative,Sadness
I feel unsafe.,Negative,Fear
I am really scared about the future.,Negative,Fear
I feel very relaxed.,Neutral,Calm
I am really scared about the future.,Negative,Fear
I am really scared about the future.,Negative,Fear
I miss my best friend.,Negative,Sadness
I feel unsafe.,Negative,Fear
I just can't get this to work!,Negative,Frustration
I feel very relaxed.,Neutral,Calm
Today was a really bad day.,Negative,Sadness
That was an unexpected turn of events!,Positive,Surprise
I miss my best friend.,Negative,Sadness
What a beautiful day!,Positive,Joy
This situation is making me anxious.,Negative,Fear
I am so frustrated with this!,Negative,Anger
This is so unfair!,Negative,Anger
I miss my best friend.,Negative,Sadness
I feel very relaxed.,Neutral,Calm
Why does everything go wrong?,Negative,Anger
This is so unfair!,Negative,Anger
I just can't get this to work!,Negative,Frustration
Everything is peaceful right now.,Neutral,Calm
Today was a really bad day.,Negative,Sadness
Everything is peaceful right now.,Neutral,Calm
Everything is peaceful right now.,Neutral,Calm
"Wow, I didn't see that coming!",Positive,Surprise
Why is this so difficult?,Negative,Frustration
I feel so lonely.,Negative,Sadness
Everything is peaceful right now.,Neutral,Calm
That was an unexpected turn of events!,Positive,Surprise
I feel so lonely.,Negative,Sadness
"Wow, I didn't see that coming!",Positive,Surprise
I feel amazing today!,Positive,Joy
This situation is making me anxious.,Negative,Fear
I feel very relaxed.,Neutral,Calm
I feel amazing today!,Positive,Joy
That was an unexpected turn of events!,Positive,Surprise
I feel so lonely.,Negative,Sadness
This situation is making me anxious.,Negative,Fear
Today was a really bad day.,Negative,Sadness
Everything is peaceful right now.,Neutral,Calm
I feel unsafe.,Negative,Fear
I am so frustrated with this!,Negative,Anger
Why is this so difficult?,Negative,Frustration
This moment is so soothing.,Neutral,Calm
What a beautiful day!,Positive,Joy
"Wow, I didn't see that coming!",Positive,Surprise
Everything is peaceful right now.,Neutral,Calm
I am so frustrated with this!,Negative,Anger
I miss my best friend.,Negative,Sadness
Nothing is going my way.,Negative,Frustration
Why does everything go wrong?,Negative,Anger
Everything is peaceful right now.,Neutral,Calm
That was an unexpected turn of events!,Positive,Surprise
This situation is making me anxious.,Negative,Fear
I am really scared about the future.,Negative,Fear
I feel unsafe.,Negative,Fear
"Wow, I didn't see that coming!",Positive,Surprise
This is so unfair!,Negative,Anger
This moment is so soothing.,Neutral,Calm
I miss my best friend.,Negative,Sadness
I love spending time with my family!,Positive,Joy
This is so unfair!,Negative,Anger
I feel unsafe.,Negative,Fear
I just can't get this to work!,Negative,Frustration
I miss my best friend.,Negative,Sadness
Nothing is going my way.,Negative,Frustration
I feel so lonely.,Negative,Sadness
This situation is making me anxious.,Negative,Fear
That was an unexpected turn of events!,Positive,Surprise
This moment is so soothing.,Neutral,Calm
What a beautiful day!,Positive,Joy
I am so frustrated with this!,Negative,Anger
I love spending time with my family!,Positive,Joy
"Wow, I didn't see that coming!",Positive,Surprise
Why is this so difficult?,Negative,Frustration
I am really scared about the future.,Negative,Fear
I feel very relaxed.,Neutral,Calm
Everything is peaceful right now.,Neutral,Calm
I just can't get this to work!,Negative,Frustration
I am really scared about the future.,Negative,Fear
Why is this so difficult?,Negative,Frustration
I feel very relaxed.,Neutral,Calm
I am really scared about the future.,Negative,Fear
I love spending time with my family!,Positive,Joy
I feel amazing today!,Positive,Joy
I can't believe it!,Positive,Surprise
I miss my best friend.,Negative,Sadness
I love spending time with my family!,Positive,Joy
I feel unsafe.,Negative,Fear
I just can't get this to work!,Negative,Frustration
This is so unfair!,Negative,Anger
I feel very relaxed.,Neutral,Calm
"Wow, I didn't see that coming!",Positive,Surprise
Why does everything go wrong?,Negative,Anger
I miss my best friend.,Negative,Sadness
Why does everything go wrong?,Negative,Anger
I just can't get this to work!,Negative,Frustration
"Wow, I didn't see that coming!",Positive,Surprise
I feel amazing today!,Positive,Joy
This moment is so soothing.,Neutral,Calm
I feel unsafe.,Negative,Fear
Everything is peaceful right now.,Neutral,Calm
I love spending time with my family!,Positive,Joy
Today was a really bad day.,Negative,Sadness
Today was a really bad day.,Negative,Sadness
This situation is making me anxious.,Negative,Fear
I am so frustrated with this!,Negative,Anger
That was an unexpected turn of events!,Positive,Surprise
I miss my best friend.,Negative,Sadness
This moment is so soothing.,Neutral,Calm
I just can't get this to work!,Negative,Frustration
Today was a really bad day.,Negative,Sadness
I am really scared about the future.,Negative,Fear
This moment is so soothing.,Neutral,Calm
I can't believe it!,Positive,Surprise
I feel very relaxed.,Neutral,Calm
I love spending time with my family!,Positive,Joy
I feel so lonely.,Negative,Sadness
This moment is so soothing.,Neutral,Calm
What a beautiful day!,Positive,Joy
Everything is peaceful right now.,Neutral,Calm
I am so frustrated with this!,Negative,Anger
I feel so lonely.,Negative,Sadness
Why is this so difficult?,Negative,Frustration
This situation is making me anxious.,Negative,Fear
This moment is so soothing.,Neutral,Calm
Why is this so difficult?,Negative,Frustration
This is so unfair!,Negative,Anger
I can't believe it!,Positive,Surprise
That was an unexpected turn of events!,Positive,Surprise
I feel amazing today!,Positive,Joy
This is so unfair!,Negative,Anger
Why is this so difficult?,Negative,Frustration
I feel unsafe.,Negative,Fear
Nothing is going my way.,Negative,Frustration
This situation is making me anxious.,Negative,Fear
I love spending time with my family!,Positive,Joy
I love spending time with my family!,Positive,Joy
This is so unfair!,Negative,Anger
Why is this so difficult?,Negative,Frustration
I feel very relaxed.,Neutral,Calm
I feel amazing today!,Positive,Joy
Today was a really bad day.,Negative,Sadness
I feel so lonely.,Negative,Sadness
I miss my best friend.,Negative,Sadness
I am really scared about the future.,Negative,Fear
I am really scared about the future.,Negative,Fear
I love spending time with my family!,Positive,Joy
What a beautiful day!,Positive,Joy
I miss my best friend.,Negative,Sadness
This is so unfair!,Negative,Anger
I feel unsafe.,Negative,Fear
I can't believe it!,Positive,Surprise
I feel very relaxed.,Neutral,Calm
I love spending time with my family!,Positive,Joy
I feel very relaxed.,Neutral,Calm
I just can't get this to work!,Negative,Frustration
I miss my best friend.,Negative,Sadness
I am so frustrated with this!,Negative,Anger
This is so unfair!,Negative,Anger
Nothing is going my way.,Negative,Frustration
Today was a really bad day.,Negative,Sadness
I miss my best friend.,Negative,Sadness
I love spending time with my family!,Positive,Joy
I am so frustrated with this!,Negative,Anger
Nothing is going my way.,Negative,Frustration
This moment is so soothing.,Neutral,Calm
Today was a really bad day.,Negative,Sadness
I feel amazing today!,Positive,Joy
I feel unsafe.,Negative,Fear
I just can't get this to work!,Negative,Frustration
This is so unfair!,Negative,Anger
That was an unexpected turn of events!,Positive,Surprise
Why is this so difficult?,Negative,Frustration
This is so unfair!,Negative,Anger
I can't believe it!,Positive,Surprise
Why is this so difficult?,Negative,Frustration
That was an unexpected turn of events!,Positive,Surprise
I can't believe it!,Positive,Surprise
I am really scared about the future.,Negative,Fear
I miss my best friend.,Negative,Sadness
I feel unsafe.,Negative,Fear
I feel unsafe.,Negative,Fear
I miss my best friend.,Negative,Sadness
This moment is so soothing.,Neutral,Calm
Why is this so difficult?,Negative,Frustration
This moment is so soothing.,Neutral,Calm
I love spending time with my family!,Positive,Joy
I am really scared about the future.,Negative,Fear
I miss my best friend.,Negative,Sadness
I miss my best friend.,Negative,Sadness
Nothing is going my way.,Negative,Frustration
Nothing is going my way.,Negative,Frustration
That was an unexpected turn of events!,Positive,Surprise
I feel amazing today!,Positive,Joy
This is so unfair!,Negative,Anger
This moment is so soothing.,Neutral,Calm
I feel amazing today!,Positive,Joy
I love spending time with my family!,Positive,Joy
I feel so lonely.,Negative,Sadness
Nothing is going my way.,Negative,Frustration
This is so unfair!,Negative,Anger
I feel unsafe.,Negative,Fear
I feel unsafe.,Negative,Fear
I feel amazing today!,Positive,Joy
Why does everything go wrong?,Negative,Anger
I just can't get this to work!,Negative,Frustration
Everything is peaceful right now.,Neutral,Calm
That was an unexpected turn of events!,Positive,Surprise
That was an unexpected turn of events!,Positive,Surprise
I love spending time with my family!,Positive,Joy
I can't believe it!,Positive,Surprise
I feel so lonely.,Negative,Sadness
This situation is making me anxious.,Negative,Fear
I feel unsafe.,Negative,Fear
I love spending time with my family!,Positive,Joy
I feel unsafe.,Negative,Fear
Nothing is going my way.,Negative,Frustration
That was an unexpected turn of events!,Positive,Surprise
I just can't get this to work!,Negative,Frustration
This moment is so soothing.,Neutral,Calm
Today was a really bad day.,Negative,Sadness
Why is this so difficult?,Negative,Frustration
What a beautiful day!,Positive,Joy
Why is this so difficult?,Negative,Frustration
I can't believe it!,Positive,Surprise
What a beautiful day!,Positive,Joy
I feel so lonely.,Negative,Sadness
I love spending time with my family!,Positive,Joy
This moment is so soothing.,Neutral,Calm
I can't believe it!,Positive,Surprise
That was an unexpected turn of events!,Positive,Surprise
Why does everything go wrong?,Negative,Anger
I miss my best friend.,Negative,Sadness
I feel unsafe.,Negative,Fear
I can't believe it!,Positive,Surprise
I love spending time with my family!,Positive,Joy
I feel so lonely.,Negative,Sadness
I love spending time with my family!,Positive,Joy
Today was a really bad day.,Negative,Sadness
This situation is making me anxious.,Negative,Fear
I feel unsafe.,Negative,Fear
Today was a really bad day.,Negative,Sadness
Today was a really bad day.,Negative,Sadness
I feel so lonely.,Negative,Sadness
Today was a really bad day.,Negative,Sadness
Why is this so difficult?,Negative,Frustration
Today was a really bad day.,Negative,Sadness
Nothing is going my way.,Negative,Frustration
Why is this so difficult?,Negative,Frustration
What a beautiful day!,Positive,Joy
I just can't get this to work!,Negative,Frustration
I feel very relaxed.,Neutral,Calm
Nothing is going my way.,Negative,Frustration
I feel amazing today!,Positive,Joy
What a beautiful day!,Positive,Joy
This situation is making me anxious.,Negative,Fear
I feel unsafe.,Negative,Fear
I miss my best friend.,Negative,Sadness
I am so frustrated with this!,Negative,Anger
This is so unfair!,Negative,Anger
I just can't get this to work!,Negative,Frustration
Nothing is going my way.,Negative,Frustration
I am really scared about the future.,Negative,Fear
Everything is peaceful right now.,Neutral,Calm
Today was a really bad day.,Negative,Sadness
"Wow, I didn't see that coming!",Positive,Surprise
I am so frustrated with this!,Negative,Anger
